productName,rating,reviewText
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,please dont buyworst front camera frequent wifi dropping issue1 absolutely worst camera images main 48mp camera grainy blurrybrought phone first sale lockddown beganwaiting lockddown end ask replacementeven zoom photo little shows camera failed capture even details slight zoom breaks photo making absolutely blurryi doubt phone 48mp sensor damaged better go phones sony sensor samsungeven photos taken redmi note 6 pro sharper2 wifi issue wifi keeps dropping four five times day need restart phone often every day reconnect wifii really dont know xiaomi put enough testing quality control phone seriously xiaomi absolutely disappointed timebetter increase ur bugget go poco x2just waiting lockdown end ask replacement service center
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, xiaomi phone quality detorerating gradually owning many phones suggesting others quality recently encountering issues brand new phones mainly proximity sensor issue display goes call someone get call stays entire duration call annoying frustrating
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, touch problem battery problem
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,unhappy amazon redmi supporting black marketingwhile trying order phone last 3 sale seasons observed within 510 seconds showing deal 100 claimed join waitlist fullbut phone available cell phone retail shops 10002000 price extra come shops getting multiple phone stocks people struggling order phonei request people support review helpful faced similar kind experience people dont waste time money ordering phone
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, want return item working properly
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,please stop using phone experience phone throwing much radiations loose eyes purchased 24 may till eyes pain visited doctor today given medicines next 6 months requesting return phone customer care invalid please help return phone
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,bought phone may 26th sale used two weeks nowso observed1 nothing phone except bigger battery side fingerprint2 advertising top gaming gpu games like cod pubg loads slower redmi note 83 takes long full charge 45 hours4 faced glitches playing games like sound stops decreases own5 camera stops needs phone restartso would suggest buy phone good gaming
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,ive bought redmi note 9 pro 1st sale ive issues like voice disappearing call e person unable hear 12 min call especially primary sim slot ive already submitted issue feedbackalso let know anyone else facing problemamazon accepting replacement buy phone peril
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1, please dont buy camera working properly
"Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage)- Latest 8nm Snapdragon 720G & Alexa Hands-Free | 6 Months No Cost EMI",1,worst seen till dont even think buying kind mobile even 1 month completed purchase mobile exmobile worst change lockscreen wallpaper mobile get hang cant mobile many issues please dont even waste time seeing mobile amazon
